id,text,category,ground_truth_concepts
11,"Echocardiography uses ultrasound waves to create detailed images of the heart's structure and function. It is a primary diagnostic tool for evaluating heart failure, valvular heart disease, and congenital heart defects. The test can measure ejection fraction, assess wall motion abnormalities, and evaluate cardiac chamber sizes. Both transthoracic and transesophageal approaches are available depending on clinical requirements.",cardiovascular,"Echocardiogram,HeartFailure,CoronaryArteryDisease,DiagnosticTest"
12,"Peripheral artery disease is a circulatory condition in which narrowed arteries reduce blood flow to the limbs. It is closely associated with atherosclerosis and shares common risk factors with coronary artery disease including hypertension, diabetes, and smoking. Symptoms include leg pain during walking (claudication), numbness, and poor wound healing. Management involves anticoagulants, statins, exercise therapy, and revascularization procedures.",cardiovascular,"Atherosclerosis,Hypertension,Anticoagulant,Statin"
13,"Asthma is a chronic inflammatory disorder of the airways characterized by episodic reversible airflow obstruction and bronchial hyperresponsiveness. Patients typically present with recurrent episodes of wheezing, shortness of breath, chest tightness, and coughing. Diagnosis is confirmed through spirometry and pulmonary function testing demonstrating reversible airflow limitation. Treatment relies primarily on inhaled bronchodilators for acute relief and inhaled corticosteroids for long-term control.",respiratory,"Asthma,Wheezing,Dyspnea,Cough,Spirometry,Bronchodilator"
14,"Chronic obstructive pulmonary disease (COPD) is a progressive lung condition characterized by persistent airflow limitation that is not fully reversible. The two main forms are chronic bronchitis and emphysema. Patients experience worsening dyspnea, chronic productive cough, wheezing, and exercise intolerance. Spirometry is the gold standard diagnostic test showing reduced FEV1/FVC ratio. Management includes bronchodilators, inhaled corticosteroids, pulmonary rehabilitation, and supplemental oxygen therapy.",respiratory,"COPD,Dyspnea,Cough,Wheezing,Spirometry,Bronchodilator"
15,"Pneumonia is an acute infection of the lung parenchyma caused by bacteria, viruses, or fungi. Clinical presentation includes fever, productive cough with purulent sputum, dyspnea, and pleuritic chest pain. Chest X-ray is the primary diagnostic imaging modality showing pulmonary infiltrates or consolidation. Treatment depends on the causative organism and typically involves antibiotic therapy for bacterial pneumonia, supportive care, and in severe cases mechanical ventilation.",respiratory,"Pneumonia,Fever,Cough,Dyspnea,XRay,Antibiotic"
16,"Bronchitis is an inflammation of the bronchial tubes that carry air to and from the lungs. Acute bronchitis is usually caused by viral infections and presents with persistent cough, mucus production, fatigue, and mild dyspnea. Chronic bronchitis is defined by a productive cough lasting at least three months in two consecutive years and is a component of COPD. Treatment includes rest, fluids, and in cases of bacterial superinfection antibiotic therapy.",respiratory,"Bronchitis,Cough,Fatigue,Dyspnea,Antibiotic,COPD"
17,"Lung cancer is the leading cause of cancer-related deaths worldwide. The two main types are non-small cell lung cancer (NSCLC) accounting for approximately 85% of cases and small cell lung cancer (SCLC). Risk factors include smoking, exposure to radon, asbestos, and air pollution. Diagnosis involves chest X-ray, CT scan, and tissue biopsy. Treatment options include surgical resection, chemotherapy, radiation therapy, targeted therapy, and immunotherapy.",respiratory,"LungCancer,CTScan,XRay,Chemotherapy,RespiratoryDisease"
18,"Pulmonary function tests (PFTs) are a group of non-invasive diagnostic tests that measure lung volume, capacity, flow rates, and gas exchange. Spirometry is the most commonly performed PFT and is essential for diagnosing and monitoring asthma and COPD. The test measures forced vital capacity (FVC) and forced expiratory volume in one second (FEV1). Results help classify disease severity and guide treatment decisions.",respiratory,"PulmonaryFunctionTest,Spirometry,Asthma,COPD,DiagnosticTest"
19,"Inhaled bronchodilators are the cornerstone of pharmacological treatment for obstructive airway diseases. Short-acting beta-agonists (SABAs) like albuterol provide rapid relief of acute bronchospasm. Long-acting beta-agonists (LABAs) and long-acting muscarinic antagonists (LAMAs) are used for maintenance therapy. These medications work by relaxing airway smooth muscle, reducing airflow resistance, and improving ventilation in patients with asthma and COPD.",respiratory,"Bronchodilator,Asthma,COPD,Medication,RespiratoryDisease"
20,"Respiratory infections can range from mild upper respiratory tract infections to severe lower respiratory tract infections like pneumonia and tuberculosis. Viral respiratory infections including influenza and COVID-19 are highly contagious and can cause significant morbidity. Prevention strategies include vaccination, hand hygiene, and respiratory etiquette. Treatment varies from supportive care for viral infections to targeted antibiotic or antiviral therapy for specific pathogens.",respiratory,"Pneumonia,Tuberculosis,Influenza,COVID19,Antibiotic,Antiviral"
21,"Type 2 diabetes mellitus is a chronic metabolic disorder characterized by insulin resistance and relative insulin deficiency leading to persistent hyperglycemia. Risk factors include obesity, sedentary lifestyle, family history, and increasing age. Complications include cardiovascular disease, nephropathy, retinopathy, and neuropathy. Management involves lifestyle modifications, oral hypoglycemic agents such as metformin, and in some cases insulin therapy. Regular blood glucose monitoring is essential.",metabolic,"Type2Diabetes,Obesity,Insulin,BloodGlucoseTest,MetabolicDisease"
22,"Type 1 diabetes mellitus is an autoimmune condition in which the immune system destroys the insulin-producing beta cells of the pancreas. It typically manifests in childhood or adolescence and requires lifelong insulin replacement therapy. Symptoms include polyuria, polydipsia, unexplained weight loss, and fatigue. Diagnosis is confirmed through blood glucose testing and detection of autoantibodies. Continuous glucose monitoring and insulin pump therapy are modern management approaches.",metabolic,"Type1Diabetes,Insulin,WeightLoss,Fatigue,BloodGlucoseTest"
23,"Obesity is a complex chronic disease defined by excessive body fat accumulation that presents a risk to health. It is classified using body mass index (BMI) with a BMI of 30 or greater indicating obesity. Obesity is a major risk factor for type 2 diabetes, cardiovascular disease, hypertension, hyperlipidemia, and certain cancers. Treatment includes dietary modification, increased physical activity, behavioral therapy, pharmacotherapy, and bariatric surgery for severe cases.",metabolic,"Obesity,Type2Diabetes,Hypertension,Hyperlipidemia,MetabolicDisease"
24,"Hyperlipidemia refers to elevated levels of lipids in the blood including cholesterol and triglycerides. It is a significant risk factor for atherosclerosis and coronary artery disease. Diagnosis is made through a fasting lipid panel blood test measuring total cholesterol, LDL, HDL, and triglycerides. Treatment involves lifestyle modifications including dietary changes and exercise, and pharmacological therapy primarily with statins which inhibit HMG-CoA reductase to reduce cholesterol synthesis.",metabolic,"Hyperlipidemia,Atherosclerosis,CoronaryArteryDisease,LipidPanel,Statin"
25,"Metabolic syndrome is a cluster of interconnected metabolic abnormalities including central obesity, hypertension, impaired fasting glucose, elevated triglycerides, and low HDL cholesterol. Having three or more of these conditions significantly increases the risk of type 2 diabetes and cardiovascular disease. Management focuses on treating individual components through lifestyle changes, weight reduction, and appropriate pharmacotherapy for each metabolic abnormality.",metabolic,"MetabolicSyndrome,Obesity,Hypertension,Type2Diabetes,Hyperlipidemia"
26,"Insulin therapy is a critical component of diabetes management, particularly for type 1 diabetes and advanced type 2 diabetes. Various insulin formulations are available including rapid-acting, short-acting, intermediate-acting, and long-acting preparations. Modern delivery systems include insulin pens, insulin pumps, and emerging closed-loop artificial pancreas systems. Proper insulin dosing, injection technique, and blood glucose monitoring are essential for safe and effective therapy.",metabolic,"Insulin,Type1Diabetes,Type2Diabetes,BloodGlucoseTest,Medication"
27,"Blood glucose monitoring is fundamental to diabetes management allowing patients and clinicians to track glycemic control. Self-monitoring of blood glucose (SMBG) using fingerstick capillary blood samples provides immediate glucose readings. Hemoglobin A1c (HbA1c) testing reflects average blood glucose levels over the preceding two to three months. Continuous glucose monitoring (CGM) systems provide real-time glucose data and trend information enabling more precise insulin dosing.",metabolic,"BloodGlucoseTest,Type2Diabetes,Type1Diabetes,Insulin,DiagnosticTest"
28,"Lipid panel testing is a standard blood test used to assess cardiovascular risk by measuring blood lipid levels. The test includes total cholesterol, low-density lipoprotein (LDL) cholesterol, high-density lipoprotein (HDL) cholesterol, and triglycerides. Elevated LDL cholesterol is a major modifiable risk factor for atherosclerotic cardiovascular disease. Results guide decisions about lifestyle interventions and statin therapy initiation.",metabolic,"LipidPanel,Hyperlipidemia,Atherosclerosis,Statin,BloodTest"
29,"Statin medications are the most widely prescribed class of lipid-lowering drugs. They work by inhibiting HMG-CoA reductase, the rate-limiting enzyme in hepatic cholesterol biosynthesis. Statins effectively reduce LDL cholesterol by 30-50% and have demonstrated significant reductions in cardiovascular events and mortality. Common statins include atorvastatin, rosuvastatin, and simvastatin. Side effects may include myalgia and rarely rhabdomyolysis.",metabolic,"Statin,Hyperlipidemia,CoronaryArteryDisease,Medication"
30,"Diabetic neuropathy is a common complication of both type 1 and type 2 diabetes resulting from chronic hyperglycemia-induced nerve damage. Peripheral neuropathy causes numbness, tingling, and pain in the extremities particularly the feet. Autonomic neuropathy can affect the cardiovascular, gastrointestinal, and genitourinary systems. Prevention relies on strict glycemic control, while treatment includes pain management and blood glucose optimization.",metabolic,"Type2Diabetes,Type1Diabetes,MetabolicDisease"
31,"Alzheimer's disease is a progressive neurodegenerative disorder and the most common cause of dementia. It is characterized by the accumulation of amyloid-beta plaques and neurofibrillary tangles in the brain leading to neuronal loss. Clinical features include progressive memory loss, cognitive decline, behavioral changes, and impaired daily functioning. Diagnosis involves clinical assessment, neuropsychological testing, and brain MRI imaging. Current treatments include cholinesterase inhibitors and occupational therapy.",neurological,"Alzheimers,MemoryLoss,MRI,OccupationalTherapy,NeurologicalDisease"
32,"Parkinson's disease is a chronic progressive neurodegenerative disorder caused by the loss of dopamine-producing neurons in the substantia nigra of the brain. Cardinal motor symptoms include resting tremor, bradykinesia, muscular rigidity, and postural instability. Non-motor symptoms include depression, cognitive impairment, and sleep disturbances. Diagnosis is primarily clinical, supported by MRI. Treatment includes dopaminergic medications like levodopa, physical therapy, and deep brain stimulation for advanced cases.",neurological,"Parkinsons,Tremor,MRI,PhysicalTherapy,NeurologicalDisease"
33,"Epilepsy is a chronic neurological disorder characterized by recurrent unprovoked seizures resulting from abnormal excessive neuronal activity in the brain. Seizures can be focal (originating in one brain area) or generalized (involving both hemispheres). Patients may experience dizziness, headache, and nausea during or after seizure episodes. Diagnosis involves electroencephalography (EEG) and brain MRI. Management primarily relies on anticonvulsant medications, with surgical options for refractory cases.",neurological,"Epilepsy,Dizziness,Headache,MRI,Anticonvulsant"
34,"Migraine is a primary headache disorder characterized by recurrent episodes of moderate to severe pulsating headache, typically unilateral, accompanied by nausea, vomiting, and sensitivity to light and sound. Some patients experience visual aura before the headache phase. Triggers include stress, hormonal changes, certain foods, and sleep disturbances. Treatment includes acute therapies such as triptans and NSAIDs, and preventive medications including anticonvulsants and beta-blockers for frequent attacks.",neurological,"Migraine,Headache,Nausea,Anticonvulsant,NeurologicalDisease"
35,"Multiple sclerosis is a chronic autoimmune demyelinating disease of the central nervous system. The immune system attacks the myelin sheath surrounding nerve fibers causing inflammation, demyelination, and axonal damage. Symptoms vary widely and may include vision problems, muscle weakness, coordination difficulties, fatigue, and cognitive impairment. Diagnosis requires MRI showing characteristic white matter lesions disseminated in time and space. Treatment includes disease-modifying therapies and symptomatic management.",neurological,"MultipleSclerosis,Fatigue,MRI,NeurologicalDisease"
36,"Brain MRI is the most important neuroimaging technique for evaluating neurological disorders. It provides detailed images of brain structures without ionizing radiation. MRI is essential for diagnosing stroke, brain tumors, multiple sclerosis, Alzheimer's disease, and epilepsy. Advanced MRI techniques include functional MRI (fMRI) for brain activation mapping, diffusion tensor imaging (DTI) for white matter tract visualization, and MR spectroscopy for metabolic assessment.",neurological,"MRI,Stroke,MultipleSclerosis,Alzheimers,Epilepsy,DiagnosticTest"
37,"Neurodegenerative diseases are a group of conditions characterized by progressive loss of neuronal structure and function. The most common neurodegenerative diseases include Alzheimer's disease, Parkinson's disease, multiple sclerosis, and amyotrophic lateral sclerosis (ALS). These conditions share common pathological features including protein misfolding, oxidative stress, mitochondrial dysfunction, and neuroinflammation. Research into disease-modifying therapies remains an active area of investigation.",neurological,"NeurologicalDisease,Alzheimers,Parkinsons,MultipleSclerosis"
38,"Anticonvulsant medications are the primary pharmacological treatment for epilepsy and are also used for migraine prevention, neuropathic pain, and bipolar disorder. First-generation anticonvulsants include phenytoin, carbamazepine, and valproic acid. Newer agents such as levetiracetam, lamotrigine, and topiramate offer improved side effect profiles. Selection depends on seizure type, patient age, comorbidities, and potential drug interactions.",neurological,"Anticonvulsant,Epilepsy,Migraine,BipolarDisorder,Medication"
39,"Cognitive decline associated with aging ranges from normal age-related memory changes to mild cognitive impairment and dementia. Risk factors for accelerated cognitive decline include hypertension, diabetes, obesity, physical inactivity, and social isolation. Early detection through cognitive screening and neuropsychological assessment enables timely intervention. Protective factors include regular physical exercise, cognitive stimulation, social engagement, and cardiovascular risk factor management.",neurological,"MemoryLoss,Alzheimers,Hypertension,Type2Diabetes,NeurologicalDisease"
40,"Physical therapy and rehabilitation play essential roles in managing neurological conditions. For Parkinson's disease, targeted exercise programs improve mobility, balance, and gait. For stroke patients, rehabilitation focuses on motor recovery, speech therapy, and activities of daily living. Occupational therapy helps patients with Alzheimer's disease maintain functional independence. Evidence supports early and intensive rehabilitation for optimal neurological outcomes.",neurological,"PhysicalTherapy,OccupationalTherapy,Parkinsons,Stroke,Alzheimers"
41,"Influenza is an acute respiratory infection caused by influenza viruses primarily types A and B. Clinical presentation includes sudden onset of high fever, headache, myalgia, fatigue, cough, and sore throat. Complications include viral and secondary bacterial pneumonia, myocarditis, and encephalitis. Annual vaccination is the most effective prevention strategy. Antiviral medications such as oseltamivir (Tamiflu) are effective when administered within 48 hours of symptom onset.",infectious,"Influenza,Fever,Headache,Cough,Fatigue,Antiviral"
42,"Tuberculosis is a chronic infectious disease caused by Mycobacterium tuberculosis primarily affecting the lungs. Active pulmonary tuberculosis presents with chronic cough, hemoptysis, night sweats, weight loss, and fever. Diagnosis involves chest X-ray showing characteristic cavitary lesions, sputum microscopy, culture, and molecular testing. Treatment requires a prolonged multi-drug antibiotic regimen typically lasting six months including isoniazid, rifampicin, pyrazinamide, and ethambutol.",infectious,"Tuberculosis,Cough,Fever,WeightLoss,XRay,Antibiotic"
43,"COVID-19 is an infectious disease caused by the SARS-CoV-2 coronavirus first identified in late 2019. The clinical spectrum ranges from asymptomatic infection to severe pneumonia with acute respiratory distress syndrome. Common symptoms include fever, dry cough, fatigue, dyspnea, and loss of taste or smell. Diagnosis is through RT-PCR testing of nasopharyngeal swabs. Treatment includes supportive care, antiviral medications, corticosteroids for severe cases, and vaccination for prevention.",infectious,"COVID19,Fever,Cough,Dyspnea,Fatigue,Antiviral"
44,"Hepatitis refers to inflammation of the liver most commonly caused by viral infections (hepatitis A, B, C, D, and E). Chronic hepatitis B and C can lead to cirrhosis and hepatocellular carcinoma. Symptoms include jaundice, fatigue, abdominal pain, and nausea. Diagnosis is through blood tests detecting viral antigens and antibodies. Treatment for hepatitis C has been revolutionized by direct-acting antiviral agents achieving cure rates exceeding 95%.",infectious,"Hepatitis,Fatigue,Nausea,BloodTest,Antiviral"
45,"HIV (Human Immunodeficiency Virus) attacks the immune system, specifically CD4+ T cells, leading to progressive immunodeficiency. Without treatment, HIV infection progresses to AIDS (Acquired Immunodeficiency Syndrome). Symptoms of acute HIV infection include fever, fatigue, swollen lymph nodes, and rash. Diagnosis is through blood tests including ELISA and Western blot confirmation. Antiretroviral therapy (ART) effectively suppresses viral replication and has transformed HIV into a manageable chronic condition.",infectious,"HIV,Fever,Fatigue,BloodTest,Antiviral"
46,"Antimicrobial resistance is an escalating global health threat occurring when microorganisms develop resistance to drugs designed to kill them. Overuse and misuse of antibiotics in human medicine and agriculture are primary drivers. Drug-resistant infections include MRSA, multi-drug resistant tuberculosis, and carbapenem-resistant Enterobacteriaceae. Strategies to combat resistance include antibiotic stewardship programs, rapid diagnostic testing, and development of novel antimicrobial agents.",infectious,"Antibiotic,Tuberculosis,InfectiousDisease"
47,"Vaccination is one of the most effective public health interventions for preventing infectious diseases. Vaccines work by stimulating the immune system to produce antibodies and memory cells against specific pathogens. Routine vaccination programs have dramatically reduced the burden of diseases including influenza, hepatitis B, measles, and more recently COVID-19. The development of mRNA vaccine technology has accelerated vaccine development timelines significantly.",infectious,"Influenza,Hepatitis,COVID19,InfectiousDisease"
48,"Antiviral medications are drugs used to treat viral infections by inhibiting viral replication. Different classes target different stages of the viral life cycle. Neuraminidase inhibitors (oseltamivir) are used for influenza. Direct-acting antivirals (DAAs) cure hepatitis C. Antiretroviral therapy (ART) controls HIV. Remdesivir and nirmatrelvir are used for COVID-19. Unlike antibiotics, antivirals are typically virus-specific and must be matched to the target pathogen.",infectious,"Antiviral,Influenza,Hepatitis,HIV,COVID19,Medication"
49,"Nosocomial infections, also known as hospital-acquired infections, are infections contracted during healthcare delivery. Common types include central line-associated bloodstream infections, ventilator-associated pneumonia, catheter-associated urinary tract infections, and surgical site infections. Prevention strategies include hand hygiene compliance, sterile technique, antimicrobial stewardship, and environmental cleaning protocols.",infectious,"Pneumonia,Antibiotic,InfectiousDisease"
50,"Emerging infectious diseases pose significant challenges to global health security. Factors contributing to emergence include urbanization, deforestation, climate change, global travel, and human-animal interface interactions. Recent examples include SARS-CoV-2, Ebola virus disease, Zika virus, and avian influenza. Preparedness requires robust surveillance systems, rapid diagnostic capabilities, stockpiling of medical countermeasures, and international cooperation through organizations like the WHO.",infectious,"COVID19,Influenza,InfectiousDisease"
51,"Depression, also known as major depressive disorder, is a common and serious mental health condition characterized by persistent feelings of sadness, hopelessness, and loss of interest in activities. Neurovegetative symptoms include fatigue, insomnia or hypersomnia, appetite changes, and difficulty concentrating. Treatment typically involves a combination of antidepressant medications (SSRIs, SNRIs) and psychotherapy, particularly cognitive behavioral therapy. Regular exercise has also shown significant antidepressant effects.",mental_health,"Depression,Fatigue,Insomnia,Antidepressant,CognitiveBehavioralTherapy"
52,"Generalized anxiety disorder (GAD) is characterized by excessive and persistent worry about various aspects of daily life that is difficult to control. Physical symptoms include muscle tension, restlessness, insomnia, palpitations, and gastrointestinal disturbances. Treatment approaches include cognitive behavioral therapy, which helps patients identify and modify maladaptive thought patterns, and pharmacotherapy with antidepressants (SSRIs/SNRIs) or buspirone. Relaxation techniques and mindfulness-based interventions are also beneficial.",mental_health,"AnxietyDisorder,Insomnia,Palpitations,Antidepressant,CognitiveBehavioralTherapy"
53,"Schizophrenia is a severe chronic mental disorder characterized by distortions in thinking, perception, emotions, language, sense of self, and behavior. Positive symptoms include hallucinations and delusions, while negative symptoms include social withdrawal and reduced emotional expression. Cognitive symptoms affect memory, attention, and executive function. Treatment centers on antipsychotic medications, psychosocial interventions, and supported employment and housing programs.",mental_health,"Schizophrenia,Antipsychotic,MentalHealthDisorder"
54,"Bipolar disorder is a mood disorder characterized by alternating episodes of mania (elevated mood, increased energy, decreased need for sleep) and depression. The condition affects approximately 1-2% of the global population. Treatment involves mood stabilizers such as lithium and valproic acid, anticonvulsant medications, and atypical antipsychotics. Psychotherapy including cognitive behavioral therapy helps patients manage symptoms and improve functioning between episodes.",mental_health,"BipolarDisorder,Anticonvulsant,Antipsychotic,CognitiveBehavioralTherapy"
55,"Post-traumatic stress disorder (PTSD) develops in some individuals following exposure to a traumatic event such as combat, assault, natural disaster, or serious accident. Core symptoms include intrusive re-experiencing of the trauma, avoidance of trauma-related stimuli, negative alterations in cognition and mood, and hyperarousal. Evidence-based treatments include trauma-focused cognitive behavioral therapy, eye movement desensitization and reprocessing (EMDR), and selective serotonin reuptake inhibitor (SSRI) medications.",mental_health,"PTSD,Insomnia,Antidepressant,CognitiveBehavioralTherapy"
56,"Cognitive behavioral therapy (CBT) is a structured, goal-oriented psychotherapy approach that focuses on identifying and modifying dysfunctional thought patterns and behaviors. It is the most widely researched psychotherapy and has demonstrated efficacy for depression, anxiety disorders, PTSD, OCD, eating disorders, and insomnia. CBT typically involves 12-20 weekly sessions and teaches patients skills for managing symptoms independently. Digital CBT platforms have expanded access to treatment.",mental_health,"CognitiveBehavioralTherapy,Depression,AnxietyDisorder,PTSD,Insomnia"
57,"Antidepressant medications are the primary pharmacological treatment for major depression and anxiety disorders. Selective serotonin reuptake inhibitors (SSRIs) including fluoxetine, sertraline, and escitalopram are first-line agents. Serotonin-norepinephrine reuptake inhibitors (SNRIs) like venlafaxine and duloxetine are alternatives. Therapeutic effects typically develop over 4-6 weeks. Side effects may include nausea, sexual dysfunction, and weight changes. Abrupt discontinuation should be avoided.",mental_health,"Antidepressant,Depression,AnxietyDisorder,Nausea,Medication"
58,"Insomnia is a common sleep disorder characterized by difficulty initiating sleep, maintaining sleep, or early morning awakening with inability to return to sleep. It is frequently comorbid with depression, anxiety disorders, chronic pain, and other medical conditions. Cognitive behavioral therapy for insomnia (CBT-I) is the first-line treatment and includes sleep restriction, stimulus control, and cognitive restructuring. Pharmacological options include short-term use of hypnotic medications.",mental_health,"Insomnia,Depression,AnxietyDisorder,CognitiveBehavioralTherapy"
59,"Antipsychotic medications are primarily used to manage psychotic symptoms in schizophrenia and bipolar disorder. First-generation (typical) antipsychotics include haloperidol and chlorpromazine. Second-generation (atypical) antipsychotics such as risperidone, olanzapine, and quetiapine have broader efficacy and different side effect profiles. Common adverse effects include weight gain, metabolic syndrome, and movement disorders. Long-acting injectable formulations improve medication adherence.",mental_health,"Antipsychotic,Schizophrenia,BipolarDisorder,MetabolicSyndrome,Medication"
60,"Mental health screening and early intervention are critical for improving outcomes across psychiatric conditions. Validated screening tools include the PHQ-9 for depression, GAD-7 for anxiety, and the Columbia Suicide Severity Rating Scale. Primary care integration of mental health services has improved detection rates. Early intervention programs for psychosis have demonstrated significant benefits in reducing symptom severity and improving long-term functioning.",mental_health,"Depression,AnxietyDisorder,MentalHealthDisorder"
61,"Comprehensive blood testing is a fundamental diagnostic tool in modern medicine encompassing a wide range of analyses. Complete blood count (CBC) evaluates red blood cells, white blood cells, and platelets. Comprehensive metabolic panel (CMP) assesses kidney function, liver function, electrolytes, and glucose. Specialized blood tests include cardiac biomarkers, thyroid function tests, coagulation studies, and autoimmune panels.",diagnostics,"BloodTest,DiagnosticTest"
62,"Computed tomography (CT) scanning uses X-ray technology and computer processing to create detailed cross-sectional images of the body. CT is essential for diagnosing stroke, detecting tumors, evaluating trauma, and guiding interventional procedures. Modern multi-detector CT scanners provide rapid acquisition and high-resolution imaging. CT angiography enables non-invasive visualization of blood vessels. Radiation dose optimization remains an important consideration.",diagnostics,"CTScan,Stroke,LungCancer,DiagnosticTest"
63,"Magnetic resonance imaging (MRI) uses strong magnetic fields and radiofrequency pulses to produce detailed images of organs and tissues without ionizing radiation. MRI excels in soft tissue contrast making it ideal for brain, spinal cord, musculoskeletal, and cardiac imaging. Contraindications include certain metallic implants and claustrophobia. Functional MRI (fMRI) enables study of brain activity by detecting changes in blood oxygenation.",diagnostics,"MRI,Alzheimers,Parkinsons,MultipleSclerosis,DiagnosticTest"
64,"Chest X-ray is the most commonly performed diagnostic imaging study worldwide. It provides essential information about the lungs, heart, mediastinum, and chest wall. Primary indications include evaluation of pneumonia, lung cancer, pleural effusion, pneumothorax, and heart failure. Digital radiography has replaced film-based systems improving image quality and workflow. Portable chest X-rays are invaluable for critically ill patients who cannot be transported.",diagnostics,"XRay,Pneumonia,LungCancer,HeartFailure,DiagnosticTest"
65,"Spirometry and pulmonary function testing are essential diagnostic tools for evaluating respiratory diseases. Spirometry measures the volume and flow of air during forced breathing maneuvers. Key parameters include forced vital capacity (FVC), forced expiratory volume in one second (FEV1), and their ratio. These measurements are critical for diagnosing and classifying the severity of asthma and COPD and for monitoring treatment response.",diagnostics,"Spirometry,PulmonaryFunctionTest,Asthma,COPD,DiagnosticTest"
66,"Point-of-care testing (POCT) provides rapid diagnostic results at the patient's bedside or in the clinic. Common POCT applications include blood glucose monitoring for diabetes management, cardiac troponin testing for myocardial infarction, rapid strep testing, and influenza and COVID-19 antigen testing. POCT enables faster clinical decision-making, reduces turnaround times, and improves patient outcomes in time-sensitive conditions.",diagnostics,"BloodGlucoseTest,MyocardialInfarction,Influenza,COVID19,DiagnosticTest"
